AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Ports and Shipping - traffic (AIS),AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-02-01T00:00:00,272,Number of boats in the same period of 2019,2019-02-01T00:00:00,227,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Ports and Shipping - traffic (AIS),AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-02-15T00:00:00,290,Number of boats in the same period of 2020,2019-02-15T00:00:00,252,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Ports and Shipping - traffic (AIS),AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-03-01T00:00:00,283,Number of boats in the same period of 2021,2019-03-01T00:00:00,282,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Ports and Shipping - traffic (AIS),AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-03-15T00:00:00,280,Number of boats in the same period of 2022,2019-03-15T00:00:00,326,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Ports and Shipping - traffic (AIS),AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-04-01T00:00:00,215,Number of boats in the same period of 2023,2019-04-01T00:00:00,263,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Ports and Shipping - traffic (AIS),AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-04-15T00:00:00,267,Number of boats in the same period of 2024,2019-04-15T00:00:00,314,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Ports and Shipping - traffic (AIS),AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-05-01T00:00:00,219,Number of boats in the same period of 2025,2019-05-01T00:00:00,269,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Ports and Shipping - traffic (AIS),AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-05-15T00:00:00,254,Number of boats in the same period of 2026,2019-05-15T00:00:00,361,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"38.45339, 15.90240",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Ports and Shipping - traffic (AIS),AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-02-01T00:00:00,168,Average number of ships in reference period April 2019,2019-02-01T00:00:00,133,,,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT16,
"38.45339, 15.90240",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Ports and Shipping - traffic (AIS),AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-02-15T00:00:00,154,Average number of ships in reference period April 2019,2019-02-15T00:00:00,88,,,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT16,
"38.45339, 15.90240",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Ports and Shipping - traffic (AIS),AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-03-01T00:00:00,169,Average number of ships in reference period April 2019,2019-03-01T00:00:00,141,,,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT16,
"38.45339, 15.90240",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Ports and Shipping - traffic (AIS),AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-03-15T00:00:00,179,Average number of ships in reference period April 2019,2019-03-15T00:00:00,168,,,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT16,
"38.45339, 15.90240",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Ports and Shipping - traffic (AIS),AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-04-01T00:00:00,158,Average number of ships in reference period April 2019,2019-04-01T00:00:00,131,,,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT16,
"38.45339, 15.90240",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Ports and Shipping - traffic (AIS),AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-04-15T00:00:00,188,Average number of ships in reference period April 2019,2019-04-15T00:00:00,144,,,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT16,
